\c:1546359840*5C\$GPGLL,3247.1947,N,07954.5934,W,162400.000,A,A*47
\c:1546359841*5D\$GPGLL,3247.221,N,07954.563,W,162359,A,A*53
\c:1546359841*5D\$GPGLL,3247.1947,N,07954.5934,W,162401.000,A,A*46
\c:1546359842*5E\$GPGLL,3247.1947,N,07954.5933,W,162402.000,A,A*42
\c:1546359843*5F\$GPGLL,3247.221,N,07954.563,W,162401,A,A*59
\c:1546359843*5F\$GPGLL,3247.1947,N,07954.5933,W,162403.000,A,A*43
\c:1546359844*58\$GPGLL,3247.1946,N,07954.5933,W,162404.000,A,A*45
\c:1546359845*59\$GPGLL,3247.221,N,07954.563,W,162404,A,A*5C
\c:1546359845*59\$GPGLL,3247.1946,N,07954.5933,W,162405.000,A,A*44
\c:1546359846*5A\$GPGLL,3247.1946,N,07954.5933,W,162406.000,A,A*47
\c:1546359847*5B\$GPGLL,3247.221,N,07954.563,W,162406,A,A*5E
\c:1546359847*5B\$GPGLL,3247.1946,N,07954.5933,W,162407.000,A,A*46
\c:1546359848*54\$GPGLL,3247.1946,N,07954.5933,W,162408.000,A,A*49
\c:1546359849*55\$GPGLL,3247.221,N,07954.563,W,162408,A,A*50
\c:1546359849*55\$GPGLL,3247.1946,N,07954.5933,W,162409.000,A,A*48
\c:1546359850*5D\$GPGLL,3247.1946,N,07954.5933,W,162410.000,A,A*40
\c:1546359851*5C\$GPGLL,3247.221,N,07954.563,W,162410,A,A*59
\c:1546359852*5F\$GPGLL,3247.1946,N,07954.5933,W,162411.000,A,A*41
\c:1546359852*5F\$GPGLL,3247.1946,N,07954.5932,W,162412.000,A,A*43
\c:1546359853*5E\$GPGLL,3247.221,N,07954.563,W,162412,A,A*5B
\c:1546359853*5E\$GPGLL,3247.1946,N,07954.5932,W,162413.000,A,A*42
\c:1546359854*59\$GPGLL,3247.1946,N,07954.5931,W,162414.000,A,A*46
\c:1546359855*58\$GPGLL,3247.221,N,07954.563,W,162414,A,A*5D
\c:1546359855*58\$GPGLL,3247.1946,N,07954.5931,W,162415.000,A,A*47
\c:1546359868*56\$GPGLL,3247.1942,N,07954.5932,W,162419.000,A,A*4C
\c:1546359868*56\$GPGLL,3247.221,N,07954.563,W,162418,A,A*51
\c:1546359868*56\$GPGLL,3247.1942,N,07954.5932,W,162420.000,A,A*46
\c:1546359868*56\$GPGLL,3247.1941,N,07954.5932,W,162421.000,A,A*44
\c:1546359868*56\$GPGLL,3247.221,N,07954.563,W,162420,A,A*5A
\c:1546359868*56\$GPGLL,3247.1940,N,07954.5932,W,162422.000,A,A*46
\c:1546359868*56\$GPGLL,3247.1940,N,07954.5932,W,162423.000,A,A*47
\c:1546359868*56\$GPGLL,3247.221,N,07954.563,W,162422,A,A*58
\c:1546359868*56\$GPGLL,3247.1939,N,07954.5933,W,162424.000,A,A*4F
\c:1546359868*56\$GPGLL,3247.1939,N,07954.5933,W,162425.000,A,A*4E
\c:1546359868*56\$GPGLL,3247.221,N,07954.563,W,162424,A,A*5E
\c:1546359868*56\$GPGLL,3247.1939,N,07954.5933,W,162426.000,A,A*4D
\c:1546359868*56\$GPGLL,3247.1939,N,07954.5933,W,162427.000,A,A*4C
\c:1546359868*56\$GPGLL,3247.221,N,07954.563,W,162426,A,A*5C
\c:1546359868*56\$GPGLL,3247.1939,N,07954.5932,W,162428.000,A,A*42
\c:1546359869*57\$GPGLL,3247.1939,N,07954.5932,W,162429.000,A,A*43
\c:1546359869*57\$GPGLL,3247.221,N,07954.563,W,162428,A,A*52
\c:1546359870*5F\$GPGLL,3247.1939,N,07954.5932,W,162430.000,A,A*4B
\c:1546359871*5E\$GPGLL,3247.1937,N,07954.5932,W,162431.000,A,D*41
\c:1546359871*5E\$GPGLL,3247.221,N,07954.563,W,162430,A,A*5B
\c:1546359872*5D\$GPGLL,3247.1935,N,07954.5935,W,162432.000,A,D*47
\c:1546359873*5C\$GPGLL,3247.1934,N,07954.5935,W,162433.000,A,D*47
\c:1546359873*5C\$GPGLL,3247.221,N,07954.563,W,162432,A,A*59
\c:1546359874*5B\$GPGLL,3247.1934,N,07954.5931,W,162434.000,A,D*44
\c:1546359875*5A\$GPGLL,3247.1928,N,07954.5935,W,162435.000,A,D*4C
\c:1546359875*5A\$GPGLL,3247.221,N,07954.563,W,162434,A,A*5F
\c:1546359876*59\$GPGLL,3247.1926,N,07954.5938,W,162436.000,A,D*4C
\c:1546359877*58\$GPGLL,3247.1924,N,07954.5937,W,162437.000,A,D*40
\c:1546359877*58\$GPGLL,3247.221,N,07954.563,W,162436,A,A*5D
\c:1546359878*57\$GPGLL,3247.1923,N,07954.5937,W,162438.000,A,D*48
\c:1546359879*56\$GPGLL,3247.1922,N,07954.5935,W,162439.000,A,D*4A
\c:1546359879*56\$GPGLL,3247.221,N,07954.563,W,162438,A,A*53
\c:1546359880*50\$GPGLL,3247.1921,N,07954.5937,W,162440.000,A,D*45
\c:1546359881*51\$GPGLL,3247.1920,N,07954.5937,W,162441.000,A,D*45
\c:1546359882*52\$GPGLL,3247.221,N,07954.563,W,162440,A,A*5C
\c:1546359882*52\$GPGLL,3247.1919,N,07954.5935,W,162442.000,A,D*4E
\c:1546359883*53\$GPGLL,3247.1916,N,07954.5934,W,162443.000,A,D*41
\c:1546359884*54\$GPGLL,3247.221,N,07954.563,W,162442,A,A*5E
\c:1546359884*54\$GPGLL,3247.1916,N,07954.5934,W,162444.000,A,D*46
\c:1546359885*55\$GPGLL,3247.1915,N,07954.5934,W,162445.000,A,D*44
\c:1546359886*56\$GPGLL,3247.221,N,07954.564,W,162444,A,A*5F
\c:1546359886*56\$GPGLL,3247.1911,N,07954.5935,W,162446.000,A,D*42
\c:1546359887*57\$GPGLL,3247.1910,N,07954.5934,W,162447.000,A,D*43
\c:1546359888*58\$GPGLL,3247.221,N,07954.564,W,162446,A,A*5D
\c:1546359888*58\$GPGLL,3247.1908,N,07954.5935,W,162448.000,A,D*44
\c:1546359889*59\$GPGLL,3247.1905,N,07954.5935,W,162449.000,A,D*48
\c:1546359890*51\$GPGLL,3247.221,N,07954.564,W,162448,A,A*53
\c:1546359890*51\$GPGLL,3247.1903,N,07954.5933,W,162450.000,A,D*40
\c:1546359891*50\$GPGLL,3247.1901,N,07954.5934,W,162451.000,A,D*44
\c:1546359892*53\$GPGLL,3247.221,N,07954.564,W,162450,A,A*5A
\c:1546359893*52\$GPGLL,3247.1899,N,07954.5934,W,162452.000,A,D*47
\c:1546359893*52\$GPGLL,3247.1900,N,07954.5933,W,162453.000,A,D*40
\c:1546359894*55\$GPGLL,3247.221,N,07954.564,W,162452,A,A*58
\c:1546359894*55\$GPGLL,3247.1900,N,07954.5933,W,162454.000,A,D*47
\c:1546359895*54\$GPGLL,3247.1901,N,07954.5933,W,162455.000,A,D*47
\c:1546359896*57\$GPGLL,3247.221,N,07954.564,W,162454,A,A*5E
\c:1546359896*57\$GPGLL,3247.1900,N,07954.5932,W,162456.000,A,D*44
\c:1546359897*56\$GPGLL,3247.1899,N,07954.5930,W,162457.000,A,D*46
\c:1546359898*59\$GPGLL,3247.221,N,07954.564,W,162456,A,A*5C
