\c:1544920588*53\$GPGLL,3247.2159,N,07954.5640,W,163730.000,A,D*4B	\c:1544920860*58\$IIVWT,117,R,11.76,N,06.05,M,,*31
\c:1544920588*53\$GPGLL,3247.2159,N,07954.5640,W,163731.000,A,D*4A	\c:1544920862*5A\$IIVWT,114,R,11.81,N,06.08,M,,*37
\c:1544920589*52\$GPGLL,3247.2159,N,07954.5640,W,163732.000,A,D*49	\c:1544920864*5C\$IIVWT,119,R,11.58,N,05.96,M,,*3A
\c:1544920590*5A\$GPGLL,3247.2159,N,07954.5640,W,163733.000,A,D*48	\c:1544920866*5E\$IIVWT,114,R,11.09,N,05.71,M,,*3A
\c:1544920591*5B\$GPGLL,3247.2159,N,07954.5640,W,163734.000,A,D*4F	\c:1544920868*50\$IIVWT,120,R,11.56,N,05.95,M,,*3D
\c:1544920592*58\$GPGLL,3247.2159,N,07954.5640,W,163735.000,A,D*4E	\c:1544920870*59\$IIVWT,119,R,11.00,N,05.66,M,,*38
\c:1544920593*59\$GPGLL,3247.2159,N,07954.5640,W,163736.000,A,D*4D	\c:1544920872*5B\$IIVWT,119,R,11.02,N,05.67,M,,*3B
\c:1544920594*5E\$GPGLL,3247.2159,N,07954.5640,W,163737.000,A,D*4C	\c:1544920874*5D\$IIVWT,119,R,10.45,N,05.38,M,,*33
\c:1544920595*5F\$GPGLL,3247.2159,N,07954.5640,W,163738.000,A,D*43	\c:1544920876*5F\$IIVWT,119,R,10.30,N,05.30,M,,*39
\c:1544920596*5C\$GPGLL,3247.2159,N,07954.5640,W,163739.000,A,D*42	\c:1544920878*51\$IIVWT,120,R,10.76,N,05.54,M,,*33
\c:1544920598*52\$GPGLL,3247.2159,N,07954.5640,W,163740.000,A,D*4C	\c:1544920880*56\$IIVWT,115,R,10.61,N,05.46,M,,*30
\c:1544920598*52\$GPGLL,3247.2159,N,07954.5640,W,163741.000,A,D*4D	\c:1544920882*54\$IIVWT,122,R,10.78,N,05.55,M,,*3E
\c:1544920599*53\$GPGLL,3247.2159,N,07954.5640,W,163742.000,A,D*4E	\c:1544920884*52\$IIVWT,120,R,11.09,N,05.71,M,,*3D
\c:1544920600*50\$GPGLL,3247.2159,N,07954.5640,W,163743.000,A,D*4F	\c:1544920886*50\$IIVWT,114,R,12.59,N,06.48,M,,*35
\c:1544920601*51\$GPGLL,3247.2159,N,07954.5640,W,163744.000,A,D*48	\c:1544920888*5E\$IIVWT,109,R,13.68,N,07.04,M,,*33
\c:1544920602*52\$GPGLL,3247.2159,N,07954.5640,W,163745.000,A,D*49	\c:1544920890*57\$IIVWT,115,R,13.52,N,06.96,M,,*3D
\c:1544920603*53\$GPGLL,3247.2159,N,07954.5640,W,163746.000,A,D*4A	\c:1544920892*55\$IIVWT,120,R,13.80,N,07.10,M,,*3B
\c:1544920604*54\$GPGLL,3247.2159,N,07954.5640,W,163747.000,A,D*4B	\c:1544920894*53\$IIVWT,125,R,14.24,N,07.33,M,,*36
\c:1544920605*55\$GPGLL,3247.2159,N,07954.5640,W,163748.000,A,D*44	\c:1544920896*51\$IIVWT,115,R,14.01,N,07.21,M,,*31
\c:1544920606*56\$GPGLL,3247.2159,N,07954.5640,W,163749.000,A,D*45	\c:1544920898*5F\$IIVWT,119,R,13.27,N,06.83,M,,*37
\c:1544920608*58\$GPGLL,3247.2159,N,07954.5639,W,163750.000,A,D*43	\c:1544920901*5E\$IIVWT,120,R,14.05,N,07.23,M,,*31
\c:1544920608*58\$GPGLL,3247.2159,N,07954.5639,W,163751.000,A,D*42	\c:1544920903*5C\$IIVWT,121,R,13.29,N,06.84,M,,*35
\c:1544920609*59\$GPGLL,3247.2159,N,07954.5639,W,163752.000,A,D*41	\c:1544920905*5A\$IIVWT,121,R,13.12,N,06.75,M,,*33
\c:1544920610*51\$GPGLL,3247.2159,N,07954.5639,W,163753.000,A,D*40	\c:1544920907*58\$IIVWT,124,R,12.61,N,06.49,M,,*3C
\c:1544920611*50\$GPGLL,3247.2159,N,07954.5639,W,163754.000,A,D*47	\c:1544920909*56\$IIVWT,123,R,13.50,N,06.95,M,,*39
\c:1544920612*53\$GPGLL,3247.2159,N,07954.5639,W,163755.000,A,D*46	\c:1544920911*5F\$IIVWT,127,R,13.21,N,06.80,M,,*3F
\c:1544920613*52\$GPGLL,3247.2159,N,07954.5639,W,163756.000,A,D*45	\c:1544920913*5D\$IIVWT,126,R,12.88,N,06.63,M,,*31
\c:1544920614*55\$GPGLL,3247.2159,N,07954.5639,W,163757.000,A,D*44	\c:1544920915*5B\$IIVWT,121,R,12.88,N,06.63,M,,*36
\c:1544920615*54\$GPGLL,3247.2159,N,07954.5639,W,163758.000,A,D*4B	\c:1544920917*59\$IIVWT,118,R,12.79,N,06.58,M,,*3A
\c:1544920616*57\$GPGLL,3247.2159,N,07954.5639,W,163759.000,A,D*4A	\c:1544920919*57\$IIVWT,122,R,12.61,N,06.49,M,,*3A
\c:1544920617*56\$GPGLL,3247.2160,N,07954.5639,W,163800.000,A,D*43	\c:1544920921*5C\$IIVWT,122,R,12.51,N,06.44,M,,*34
\c:1544920618*59\$GPGLL,3247.2160,N,07954.5639,W,163801.000,A,D*42	\c:1544920923*5E\$IIVWT,121,R,12.07,N,06.21,M,,*37
\c:1544920619*58\$GPGLL,3247.2160,N,07954.5639,W,163802.000,A,D*41	\c:1544920925*58\$IIVWT,121,R,12.16,N,06.26,M,,*30
