\c:1552136827*53\$IIVWT,056,L,02.07,N,01.07,M,,*2A
\c:1552136829*5D\$IIVWT,050,L,02.17,N,01.12,M,,*29
\c:1552136831*54\$IIVWT,047,L,02.21,N,01.14,M,,*2C
\c:1552136833*56\$IIVWT,039,L,02.35,N,01.21,M,,*26
\c:1552136835*50\$IIVWT,053,L,02.42,N,01.25,M,,*2E
\c:1552136837*52\$IIVWT,050,L,02.56,N,01.32,M,,*2E
\c:1552136839*5C\$IIVWT,047,L,02.39,N,01.23,M,,*21
\c:1552136841*53\$IIVWT,046,L,02.42,N,01.25,M,,*2A
\c:1552136843*51\$IIVWT,044,L,02.29,N,01.18,M,,*2B
\c:1552136845*57\$IIVWT,044,L,02.42,N,01.25,M,,*28
\c:1552136848*5A\$IIVWT,038,L,02.64,N,01.36,M,,*25
\c:1552136850*53\$IIVWT,056,L,02.44,N,01.26,M,,*2E
\c:1552136852*51\$IIVWT,046,L,02.31,N,01.19,M,,*21
\c:1552136854*57\$IIVWT,029,L,02.23,N,01.15,M,,*27
\c:1552136856*55\$IIVWT,038,L,02.33,N,01.20,M,,*20
\c:1552136858*5B\$IIVWT,045,L,01.92,N,00.99,M,,*21
\c:1552136860*50\$IIVWT,048,L,02.13,N,01.10,M,,*26
\c:1552136862*52\$IIVWT,038,L,01.92,N,00.99,M,,*2B
\c:1552136864*54\$IIVWT,044,L,02.02,N,01.04,M,,*2F
\c:1552136866*56\$IIVWT,034,L,02.00,N,01.03,M,,*2D
\c:1552136868*58\$IIVWT,059,L,02.04,N,01.05,M,,*24
\c:1552136870*51\$IIVWT,048,L,01.96,N,01.01,M,,*28
\c:1552136872*53\$IIVWT,043,L,02.06,N,01.06,M,,*2E
\c:1552136874*55\$IIVWT,048,L,02.29,N,01.18,M,,*27
\c:1552136876*57\$IIVWT,052,L,01.94,N,01.00,M,,*20
\c:1552136878*59\$IIVWT,052,L,02.21,N,01.14,M,,*28
\c:1552136880*5E\$IIVWT,063,L,01.94,N,01.00,M,,*22
\c:1552136882*5C\$IIVWT,051,L,02.13,N,01.10,M,,*2E
\c:1552136884*5A\$IIVWT,032,L,02.09,N,01.08,M,,*29
\c:1552136886*58\$IIVWT,028,L,02.31,N,01.19,M,,*29
\c:1552136889*57\$IIVWT,017,L,02.31,N,01.19,M,,*25
\c:1552136891*5E\$IIVWT,046,L,02.21,N,01.14,M,,*2D
\c:1552136893*5C\$IIVWT,045,L,02.23,N,01.15,M,,*2D
\c:1552136895*5A\$IIVWT,052,L,01.86,N,00.96,M,,*2D
\c:1552136897*58\$IIVWT,046,L,02.02,N,01.04,M,,*2D
\c:1552136899*56\$IIVWT,056,L,01.88,N,00.97,M,,*26
\c:1552136901*56\$IIVWT,054,L,02.13,N,01.10,M,,*2B
\c:1552136903*54\$IIVWT,011,L,02.13,N,01.10,M,,*2A
\c:1552136905*52\$IIVWT,059,L,01.98,N,01.02,M,,*25
\c:1552136907*50\$IIVWT,042,L,01.73,N,00.89,M,,*28
\c:1552136909*5E\$IIVWT,032,L,01.74,N,00.90,M,,*20
\c:1552136911*57\$IIVWT,022,L,01.88,N,00.97,M,,*25
\c:1552136913*55\$IIVWT,014,L,02.25,N,01.16,M,,*2C
\c:1552136915*53\$IIVWT,033,L,02.39,N,01.23,M,,*22
\c:1552136917*51\$IIVWT,011,L,02.35,N,01.21,M,,*2C
\c:1552136919*5F\$IIVWT,031,L,02.29,N,01.18,M,,*29
\c:1552136921*54\$IIVWT,008,L,02.25,N,01.16,M,,*21
\c:1552136923*56\$IIVWT,061,L,02.21,N,01.14,M,,*28
\c:1552136925*50\$IIVWT,064,L,01.51,N,00.78,M,,*22
\c:1552136927*52\$IIVWT,063,L,01.43,N,00.74,M,,*2A
\c:1552136929*5C\$IIVWT,011,L,01.78,N,00.92,M,,*2F
\c:1552136932*56\$IIVWT,038,L,02.15,N,01.11,M,,*26
\c:1552136934*50\$IIVWT,044,L,02.31,N,01.19,M,,*23
\c:1552136936*52\$IIVWT,053,L,02.37,N,01.22,M,,*2B
\c:1552136938*5C\$IIVWT,041,L,02.21,N,01.14,M,,*2A
\c:1552136940*53\$IIVWT,009,L,02.39,N,01.23,M,,*2B
\c:1552136942*51\$IIVWT,012,L,02.48,N,01.28,M,,*2C
\c:1552136944*57\$IIVWT,020,R,02.44,N,01.26,M,,*31
\c:1552136946*55\$IIVWT,029,L,02.48,N,01.28,M,,*24
\c:1552136948*5B\$IIVWT,004,L,02.39,N,01.23,M,,*26
