\c:1552136664*5A\$GPGLL,3247.222,N,07954.564,W,130453,A,A*5D	\c:1552136747*5A\$IIVWT,000,R,02.35,N,01.21,M,,*32
\c:1552136664*5A\$GPGLL,3247.2155,N,07954.5642,W,130453.000,A,A*40	\c:1552136749*54\$IIVWT,028,L,02.60,N,01.34,M,,*22
\c:1552136665*5B\$GPGLL,3247.2155,N,07954.5642,W,130454.000,A,A*47	\c:1552136751*5D\$IIVWT,024,L,02.48,N,01.28,M,,*29
\c:1552136666*58\$GPGLL,3247.222,N,07954.564,W,130455,A,A*5B	\c:1552136753*5F\$IIVWT,001,R,02.35,N,01.21,M,,*33
\c:1552136666*58\$GPGLL,3247.2155,N,07954.5642,W,130455.000,A,A*46	\c:1552136755*59\$IIVWT,005,L,02.52,N,01.30,M,,*28
\c:1552136668*56\$GPGLL,3247.2155,N,07954.5642,W,130456.000,A,A*45	\c:1552136757*5B\$IIVWT,019,L,02.31,N,01.19,M,,*2B
\c:1552136668*56\$GPGLL,3247.2155,N,07954.5642,W,130457.000,A,A*44	\c:1552136759*55\$IIVWT,020,L,02.42,N,01.25,M,,*2A
\c:1552136668*56\$GPGLL,3247.222,N,07954.564,W,130457,A,A*59	\c:1552136762*5D\$IIVWT,029,L,02.41,N,01.24,M,,*21
\c:1552136669*57\$GPGLL,3247.2155,N,07954.5642,W,130458.000,A,A*4B	\c:1552136764*5B\$IIVWT,020,L,02.31,N,01.19,M,,*21
\c:1552136670*5F\$GPGLL,3247.2155,N,07954.5642,W,130459.000,A,A*4A	\c:1552136766*59\$IIVWT,034,L,02.21,N,01.14,M,,*28
\c:1552136670*5F\$GPGLL,3247.222,N,07954.564,W,130459,A,A*57	\c:1552136768*57\$IIVWT,042,L,02.21,N,01.14,M,,*29
\c:1552136671*5E\$GPGLL,3247.2155,N,07954.5642,W,130500.000,A,A*47	\c:1552136770*5E\$IIVWT,043,L,02.19,N,01.13,M,,*24
\c:1552136672*5D\$GPGLL,3247.2155,N,07954.5642,W,130501.000,A,A*46	\c:1552136772*5C\$IIVWT,040,L,02.31,N,01.19,M,,*27
\c:1552136672*5D\$GPGLL,3247.222,N,07954.564,W,130501,A,A*5B	\c:1552136774*5A\$IIVWT,031,L,02.39,N,01.23,M,,*20
\c:1552136673*5C\$GPGLL,3247.2155,N,07954.5642,W,130502.000,A,A*45	\c:1552136776*58\$IIVWT,029,L,02.62,N,01.35,M,,*20
\c:1552136674*5B\$GPGLL,3247.222,N,07954.564,W,130503,A,A*59	\c:1552136778*56\$IIVWT,027,L,02.81,N,01.45,M,,*24
\c:1552136674*5B\$GPGLL,3247.2155,N,07954.5642,W,130503.000,A,A*44	\c:1552136780*51\$IIVWT,034,L,02.81,N,01.45,M,,*26
\c:1552136675*5A\$GPGLL,3247.2155,N,07954.5642,W,130504.000,A,A*43	\c:1552136782*53\$IIVWT,049,L,02.64,N,01.36,M,,*23
\c:1552136676*59\$GPGLL,3247.2155,N,07954.5642,W,130505.000,A,A*42	\c:1552136784*55\$IIVWT,044,L,02.35,N,01.21,M,,*2C
\c:1552136676*59\$GPGLL,3247.222,N,07954.564,W,130505,A,A*5F	\c:1552136786*57\$IIVWT,032,L,02.39,N,01.23,M,,*23
\c:1552136677*58\$GPGLL,3247.2155,N,07954.5642,W,130506.000,A,A*41	\c:1552136788*59\$IIVWT,022,L,02.44,N,01.26,M,,*2D
